Date: 2025-09-23 | Vehicle: AUTO | Trips: 2237 | Revenue: $ 477108.06
Date: 2025-10-07 | Vehicle: TAXI | Trips: 4808 | Revenue: $ 1020481.76
Date: 2025-10-08 | Vehicle: AUTO | Trips: 4866 | Revenue: $ 1029627.37
Date: 2025-10-08 | Vehicle: BIKE | Trips: 4856 | Revenue: $ 1036502.28
Date: 2025-10-08 | Vehicle: TAXI | Trips: 4854 | Revenue: $ 1027047.65
Date: 2025-10-09 | Vehicle: AUTO | Trips: 4785 | Revenue: $ 1003091.97
Date: 2025-10-09 | Vehicle: BIKE | Trips: 4697 | Revenue: $ 984828.27
Date: 2025-10-09 | Vehicle: TAXI | Trips: 4741 | Revenue: $ 1010520.34
Date: 2025-10-10 | Vehicle: AUTO | Trips: 4887 | Revenue: $ 1038812.27
Date: 2025-10-10 | Vehicle: BIKE | Trips: 4839 | Revenue: $ 1028405.04
Date: 2025-10-10 | Vehicle: TAXI | Trips: 4860 | Revenue: $ 1046079.53
Date: 2025-10-11 | Vehicle: AUTO | Trips: 4769 | Revenue: $ 1014477.49
Date: 2025-10-11 | Vehicle: BIKE | Trips: 4740 | Revenue: $ 1001352.97
Date: 2025-10-11 | Vehicle: TAXI | Trips: 4823 | Revenue: $ 1030442.05
Date: 2025-10-12 | Vehicle: AUTO | Trips: 4703 | Revenue: $ 1007337.53
Date: 2025-10-12 | Vehicle: BIKE | Trips: 4800 | Revenue: $ 1028949.95
Date: 2025-10-12 | Vehicle: TAXI | Trips: 4848 | Revenue: $ 1033995.46
Date: 2025-10-13 | Vehicle: AUTO | Trips: 4844 | Revenue: $ 1024504.98
Date: 2025-10-13 | Vehicle: BIKE | Trips: 4822 | Revenue: $ 1028529.58
Date: 2025-10-13 | Vehicle: TAXI | Trips: 4692 | Revenue: $ 1002667.18
Date: 2025-10-14 | Vehicle: AUTO | Trips: 4768 | Revenue: $ 1002686.43
Date: 2025-10-14 | Vehicle: BIKE | Trips: 4787 | Revenue: $ 1019354.68
Date: 2025-10-14 | Vehicle: TAXI | Trips: 4838 | Revenue: $ 1043803.48
Date: 2025-10-15 | Vehicle: AUTO | Trips: 4777 | Revenue: $ 1015375.65
Date: 2025-10-15 | Vehicle: BIKE | Trips: 4735 | Revenue: $ 1002875.57
Date: 2025-10-15 | Vehicle: TAXI | Trips: 4871 | Revenue: $ 1031831.07
Date: 2025-10-16 | Vehicle: AUTO | Trips: 4814 | Revenue: $ 1029590.3
Date: 2025-10-16 | Vehicle: BIKE | Trips: 4666 | Revenue: $ 999268.39
Date: 2025-10-16 | Vehicle: TAXI | Trips: 4562 | Revenue: $ 972275.43
Date: 2025-10-17 | Vehicle: AUTO | Trips: 4816 | Revenue: $ 1016469.33
Date: 2025-10-17 | Vehicle: BIKE | Trips: 4695 | Revenue: $ 1007252.95
Date: 2025-10-17 | Vehicle: TAXI | Trips: 4820 | Revenue: $ 1021395.17
Date: 2025-10-18 | Vehicle: AUTO | Trips: 4802 | Revenue: $ 1015187.51
Date: 2025-10-18 | Vehicle: BIKE | Trips: 4709 | Revenue: $ 1002953.82
Date: 2025-10-18 | Vehicle: TAXI | Trips: 4696 | Revenue: $ 1003325.7
Date: 2025-10-19 | Vehicle: AUTO | Trips: 4781 | Revenue: $ 1017881.52
Date: 2025-10-19 | Vehicle: BIKE | Trips: 4935 | Revenue: $ 1039658.18
Date: 2025-10-19 | Vehicle: TAXI | Trips: 4829 | Revenue: $ 1040207.02
Date: 2025-10-20 | Vehicle: AUTO | Trips: 4730 | Revenue: $ 1014870.71
Date: 2025-10-20 | Vehicle: BIKE | Trips: 4874 | Revenue: $ 1035649.62
Date: 2025-10-20 | Vehicle: TAXI | Trips: 4911 | Revenue: $ 1034863.38
Date: 2025-10-21 | Vehicle: AUTO | Trips: 4713 | Revenue: $ 1001613.86
Date: 2025-10-21 | Vehicle: BIKE | Trips: 4859 | Revenue: $ 1031972.68
Date: 2025-10-21 | Vehicle: TAXI | Trips: 4721 | Revenue: $ 1006123.0
Date: 2025-10-22 | Vehicle: AUTO | Trips: 4796 | Revenue: $ 1011539.2
Date: 2025-10-22 | Vehicle: BIKE | Trips: 4843 | Revenue: $ 1034479.36
Date: 2025-10-22 | Vehicle: TAXI | Trips: 4810 | Revenue: $ 1031561.97
Date: 2025-10-23 | Vehicle: AUTO | Trips: 4742 | Revenue: $ 1012454.69
Date: 2025-10-23 | Vehicle: BIKE | Trips: 4834 | Revenue: $ 1023222.95
Date: 2025-10-23 | Vehicle: TAXI | Trips: 4942 | Revenue: $ 1060894.99
Date: 2025-10-24 | Vehicle: AUTO | Trips: 4857 | Revenue: $ 1045073.34
Date: 2025-10-24 | Vehicle: BIKE | Trips: 4804 | Revenue: $ 1007480.55
Date: 2025-10-24 | Vehicle: TAXI | Trips: 4718 | Revenue: $ 988987.81
Date: 2025-10-25 | Vehicle: AUTO | Trips: 4886 | Revenue: $ 1057929.7
Date: 2025-10-25 | Vehicle: BIKE | Trips: 4701 | Revenue: $ 998993.38
Date: 2025-10-25 | Vehicle: TAXI | Trips: 4730 | Revenue: $ 1004820.82
Date: 2025-10-26 | Vehicle: AUTO | Trips: 4683 | Revenue: $ 990191.41
Date: 2025-10-26 | Vehicle: BIKE | Trips: 4741 | Revenue: $ 1009214.07
Date: 2025-10-26 | Vehicle: TAXI | Trips: 4861 | Revenue: $ 1020265.6
Date: 2025-10-27 | Vehicle: AUTO | Trips: 4896 | Revenue: $ 1042085.57
Date: 2025-10-27 | Vehicle: BIKE | Trips: 4841 | Revenue: $ 1025951.0
Date: 2025-10-27 | Vehicle: TAXI | Trips: 4821 | Revenue: $ 1039538.28
Date: 2025-10-28 | Vehicle: AUTO | Trips: 4779 | Revenue: $ 1011518.22
Date: 2025-10-28 | Vehicle: BIKE | Trips: 4826 | Revenue: $ 1019698.69
Date: 2025-10-28 | Vehicle: TAXI | Trips: 4779 | Revenue: $ 1009256.53
Date: 2025-10-29 | Vehicle: AUTO | Trips: 4734 | Revenue: $ 1007361.58
Date: 2025-10-29 | Vehicle: BIKE | Trips: 4781 | Revenue: $ 1014710.98
Date: 2025-10-29 | Vehicle: TAXI | Trips: 4866 | Revenue: $ 1031402.58
Date: 2025-10-30 | Vehicle: AUTO | Trips: 4823 | Revenue: $ 1013599.47
Date: 2025-10-30 | Vehicle: BIKE | Trips: 4729 | Revenue: $ 1003602.94
Date: 2025-10-30 | Vehicle: TAXI | Trips: 4820 | Revenue: $ 1028522.27
Date: 2025-10-31 | Vehicle: AUTO | Trips: 4855 | Revenue: $ 1038293.56
Date: 2025-10-31 | Vehicle: BIKE | Trips: 4779 | Revenue: $ 1015376.23
Date: 2025-10-31 | Vehicle: TAXI | Trips: 4908 | Revenue: $ 1051120.84
Date: 2025-11-01 | Vehicle: AUTO | Trips: 4845 | Revenue: $ 1036917.36
Date: 2025-11-01 | Vehicle: BIKE | Trips: 4805 | Revenue: $ 1019544.68
Date: 2025-11-01 | Vehicle: TAXI | Trips: 4728 | Revenue: $ 1001919.12
Date: 2025-11-02 | Vehicle: AUTO | Trips: 4829 | Revenue: $ 1019689.33
Date: 2025-11-02 | Vehicle: BIKE | Trips: 4849 | Revenue: $ 1022178.85
Date: 2025-11-02 | Vehicle: TAXI | Trips: 4868 | Revenue: $ 1029464.64
Date: 2025-11-03 | Vehicle: AUTO | Trips: 4835 | Revenue: $ 1030898.96
Date: 2025-11-03 | Vehicle: BIKE | Trips: 4819 | Revenue: $ 1026765.02
Date: 2025-11-03 | Vehicle: TAXI | Trips: 4796 | Revenue: $ 1012557.55
Date: 2025-11-04 | Vehicle: AUTO | Trips: 4712 | Revenue: $ 999330.13
Date: 2025-11-04 | Vehicle: BIKE | Trips: 4795 | Revenue: $ 1017849.3
Date: 2025-11-04 | Vehicle: TAXI | Trips: 4992 | Revenue: $ 1062461.33
Date: 2025-11-05 | Vehicle: AUTO | Trips: 4881 | Revenue: $ 1033694.75
Date: 2025-11-05 | Vehicle: BIKE | Trips: 4934 | Revenue: $ 1042915.45
Date: 2025-11-05 | Vehicle: TAXI | Trips: 4815 | Revenue: $ 1026405.35
Date: 2025-11-06 | Vehicle: AUTO | Trips: 4761 | Revenue: $ 1010314.21
Date: 2025-11-06 | Vehicle: BIKE | Trips: 4754 | Revenue: $ 1019535.18
Date: 2025-11-06 | Vehicle: TAXI | Trips: 4899 | Revenue: $ 1043388.56
Date: 2025-11-07 | Vehicle: AUTO | Trips: 4801 | Revenue: $ 1017372.57
Date: 2025-11-07 | Vehicle: BIKE | Trips: 4850 | Revenue: $ 1039230.4
Date: 2025-11-07 | Vehicle: TAXI | Trips: 4708 | Revenue: $ 1001154.73
Date: 2025-11-08 | Vehicle: AUTO | Trips: 4636 | Revenue: $ 987385.84
Date: 2025-11-08 | Vehicle: BIKE | Trips: 4815 | Revenue: $ 1003905.29
Date: 2025-11-08 | Vehicle: TAXI | Trips: 4797 | Revenue: $ 1015609.85
Date: 2025-11-09 | Vehicle: AUTO | Trips: 4888 | Revenue: $ 1034087.21
Date: 2025-11-09 | Vehicle: BIKE | Trips: 4852 | Revenue: $ 1035513.73
Date: 2025-11-09 | Vehicle: TAXI | Trips: 4858 | Revenue: $ 1039262.04
Date: 2025-11-10 | Vehicle: AUTO | Trips: 4808 | Revenue: $ 1013291.2
Date: 2025-11-10 | Vehicle: BIKE | Trips: 4814 | Revenue: $ 1021936.56
Date: 2025-11-10 | Vehicle: TAXI | Trips: 4848 | Revenue: $ 1029589.12
Date: 2025-11-11 | Vehicle: AUTO | Trips: 4791 | Revenue: $ 1024377.44
Date: 2025-11-11 | Vehicle: BIKE | Trips: 4746 | Revenue: $ 1004009.24
Date: 2025-11-11 | Vehicle: TAXI | Trips: 4866 | Revenue: $ 1032194.85
Date: 2025-11-12 | Vehicle: AUTO | Trips: 4725 | Revenue: $ 1002777.53
Date: 2025-11-12 | Vehicle: BIKE | Trips: 4818 | Revenue: $ 1013379.27
Date: 2025-11-12 | Vehicle: TAXI | Trips: 4843 | Revenue: $ 1021985.07
Date: 2025-11-13 | Vehicle: AUTO | Trips: 4932 | Revenue: $ 1039735.97
Date: 2025-11-13 | Vehicle: BIKE | Trips: 4760 | Revenue: $ 1022564.08
Date: 2025-11-13 | Vehicle: TAXI | Trips: 4748 | Revenue: $ 1010915.21
Date: 2025-11-14 | Vehicle: AUTO | Trips: 4797 | Revenue: $ 1020116.38
Date: 2025-11-14 | Vehicle: BIKE | Trips: 4847 | Revenue: $ 1012893.95
Date: 2025-11-14 | Vehicle: TAXI | Trips: 4884 | Revenue: $ 1044771.96
Date: 2025-11-15 | Vehicle: AUTO | Trips: 4783 | Revenue: $ 1001603.35
Date: 2025-11-15 | Vehicle: BIKE | Trips: 4782 | Revenue: $ 1011249.05
Date: 2025-11-15 | Vehicle: TAXI | Trips: 4850 | Revenue: $ 1034783.7
Date: 2025-11-16 | Vehicle: AUTO | Trips: 4789 | Revenue: $ 1020797.91
Date: 2025-11-16 | Vehicle: BIKE | Trips: 4763 | Revenue: $ 1019024.86
Date: 2025-11-16 | Vehicle: TAXI | Trips: 4697 | Revenue: $ 1006373.43
Date: 2025-11-17 | Vehicle: AUTO | Trips: 4734 | Revenue: $ 1012082.75
Date: 2025-11-17 | Vehicle: BIKE | Trips: 4908 | Revenue: $ 1053568.54
Date: 2025-11-17 | Vehicle: TAXI | Trips: 4740 | Revenue: $ 1016927.99
Date: 2025-11-18 | Vehicle: AUTO | Trips: 4772 | Revenue: $ 1012744.37
Date: 2025-11-18 | Vehicle: BIKE | Trips: 4743 | Revenue: $ 1010599.18
Date: 2025-11-18 | Vehicle: TAXI | Trips: 4806 | Revenue: $ 1028310.07
Date: 2025-11-19 | Vehicle: AUTO | Trips: 4872 | Revenue: $ 1032475.17
Date: 2025-11-19 | Vehicle: BIKE | Trips: 4930 | Revenue: $ 1040079.96
Date: 2025-11-19 | Vehicle: TAXI | Trips: 4772 | Revenue: $ 1010538.93
Date: 2025-11-20 | Vehicle: AUTO | Trips: 4818 | Revenue: $ 1015380.73
Date: 2025-11-20 | Vehicle: BIKE | Trips: 4905 | Revenue: $ 1051534.34
Date: 2025-11-20 | Vehicle: TAXI | Trips: 4838 | Revenue: $ 1029603.0
Date: 2025-11-21 | Vehicle: AUTO | Trips: 4705 | Revenue: $ 1000138.98
Date: 2025-11-21 | Vehicle: BIKE | Trips: 4773 | Revenue: $ 1000176.63
Date: 2025-11-21 | Vehicle: TAXI | Trips: 4776 | Revenue: $ 1010339.21
Date: 2025-11-22 | Vehicle: AUTO | Trips: 4889 | Revenue: $ 1046899.81
Date: 2025-11-22 | Vehicle: BIKE | Trips: 4740 | Revenue: $ 1023202.08
Date: 2025-11-22 | Vehicle: TAXI | Trips: 4895 | Revenue: $ 1046021.01
Date: 2025-11-23 | Vehicle: AUTO | Trips: 4713 | Revenue: $ 1009496.78
Date: 2025-11-23 | Vehicle: BIKE | Trips: 4893 | Revenue: $ 1027065.19
Date: 2025-11-23 | Vehicle: TAXI | Trips: 4676 | Revenue: $ 996294.75
Date: 2025-11-24 | Vehicle: AUTO | Trips: 4923 | Revenue: $ 1048038.95
Date: 2025-11-24 | Vehicle: BIKE | Trips: 4858 | Revenue: $ 1045375.88
Date: 2025-11-24 | Vehicle: TAXI | Trips: 4824 | Revenue: $ 1018510.7
Date: 2025-11-25 | Vehicle: AUTO | Trips: 4761 | Revenue: $ 1007166.49
Date: 2025-11-25 | Vehicle: BIKE | Trips: 4753 | Revenue: $ 1002140.48
Date: 2025-11-25 | Vehicle: TAXI | Trips: 4809 | Revenue: $ 1021789.63
Date: 2025-11-26 | Vehicle: AUTO | Trips: 4879 | Revenue: $ 1042004.4
Date: 2025-11-26 | Vehicle: BIKE | Trips: 4843 | Revenue: $ 1023265.02
Date: 2025-11-26 | Vehicle: TAXI | Trips: 4817 | Revenue: $ 1009939.25
Date: 2025-11-27 | Vehicle: AUTO | Trips: 4801 | Revenue: $ 1030428.36
Date: 2025-11-27 | Vehicle: BIKE | Trips: 4900 | Revenue: $ 1047728.25
Date: 2025-11-27 | Vehicle: TAXI | Trips: 4849 | Revenue: $ 1030815.26
Date: 2025-11-28 | Vehicle: AUTO | Trips: 4778 | Revenue: $ 1012041.42
Date: 2025-11-28 | Vehicle: BIKE | Trips: 4845 | Revenue: $ 1021656.56
Date: 2025-11-28 | Vehicle: TAXI | Trips: 4799 | Revenue: $ 1012866.39
Date: 2025-11-29 | Vehicle: AUTO | Trips: 4802 | Revenue: $ 1016680.56
Date: 2025-11-29 | Vehicle: BIKE | Trips: 4798 | Revenue: $ 1006182.18
Date: 2025-11-29 | Vehicle: TAXI | Trips: 4860 | Revenue: $ 1032189.55
Date: 2025-11-30 | Vehicle: AUTO | Trips: 4759 | Revenue: $ 1012892.38
Date: 2025-11-30 | Vehicle: BIKE | Trips: 4764 | Revenue: $ 1023815.85
Date: 2025-11-30 | Vehicle: TAXI | Trips: 4748 | Revenue: $ 1018261.47
Date: 2025-12-01 | Vehicle: AUTO | Trips: 4827 | Revenue: $ 1027008.54
Date: 2025-12-01 | Vehicle: BIKE | Trips: 4723 | Revenue: $ 1000476.02
Date: 2025-12-01 | Vehicle: TAXI | Trips: 4804 | Revenue: $ 1013287.0
